1;2;3;4;5;6;7;8;9;;;;;;;
;Materiales para ingresar a hojas de cálculo;;;;;;;;;;;;;;
Nombre para mostrar;N°;Origen de datos;Lista origen;Material y/o descripción;Nombre abreviado para gráficos;"Espesor
m";"Conductividad térmica
?
W/(m?K)";Propiedad de la difusión de vapor de agua y su valor;;;;;;;
-;1;;#N/A;;;;;#N/A;?:;Factor de resistencia al vapor de agua;;;;;
-;2;;#N/A;;;;;#N/A;Sd:;Espesor de capa de aire equivalente a la difusión de vapor de agua;;;;;
-;3;;#N/A;;;;;#N/A;?p:;Permeabilidad al vapor de agua;;;;;
-;4;;#N/A;;;;;#N/A;Wp:;Permeancia al vapor de agua;;;;;
-;5;;#N/A;;;;;#N/A;Zp:;Resistencia al vapor de agua;;;;;
-;6;;#N/A;;;;;#N/A;inf:;Infinito;;;;;
-;7;;#N/A;;;;;#N/A;;;;;;;
-;8;;#N/A;;;;;#N/A;;;;;;;
-;9;;#N/A;;;;;#N/A;;;;;;;
-;10;;#N/A;;;;;#N/A;;;;;;;
-;11;;#N/A;;;;;#N/A;;;;;;;
-;12;;#N/A;;;;;#N/A;;;;;;;
-;13;;#N/A;;;;;#N/A;;;;;;;
-;14;;#N/A;;;;;#N/A;;;;;;;
-;15;;#N/A;;;;;#N/A;;;;;;;
-;16;;#N/A;;;;;#N/A;;;;;;;
-;17;;#N/A;;;;;#N/A;;;;;;;
-;18;;#N/A;;;;;#N/A;;;;;;;
-;19;;#N/A;;;;;#N/A;;;;;;;
-;20;;#N/A;;;;;#N/A;;;;;;;
;"***IMPORTANTE*** en caso de requerir incorporar un perfil de acero de dimensiones y/o espesor distintos a los señalados en la tabla ""NCh 853.Of2007"" de más abajo, en columna ORIGEN DE DATOS seleccione ""NCh 853.Of2007"", luego en columna MATERIAL Y/O DESCRIPCIÓN seleccione ""Perfil acero"", en columna ESPESOR ingrese la dimensión mayor de la sección del perfil y en columna CONDUCTIVIDAD ingrese la resistencia térmica (R) obtenida de la hoja ""ANEXO CÁLCULOS"" de la forma ""R=x,xxx"" (sin espacios), por ej: R=0,123.";;;;;;;;;;;;;;
BIBLIOTECA DE MATERIALES;BIBLIOTECA DE MATERIALES;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;Materiales definidos por usuario;;;;;;;;;;;
;;;;Nombre y/o descripción material;"Espesor
m";"Conductividad térmica
?
W/(m?K)";Propiedad de la difusión de vapor de agua conocida (elegir una);Valor de la propiedad de difusión de vapor de agua;;;;;;;
;;;;;;;;;?:;Factor de resistencia al vapor de agua;;;;;
;;;;;;;;;Sd:;Espesor de capa de aire equivalente a la difusión de vapor de agua;;;;;
;;;;;;;;;?p:;Permeabilidad al vapor de agua;;;;;
;;;;;;;;;Wp:;Permeancia al vapor de agua;;;;;
;;;;;;;;;Zp:;Resistencia al vapor de agua;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;Materiales ensayados en Chile - actualizado a marzo de 2023;;;;;;;;;;;
;;;;Material;"Espesor
[m]";"Resistencia a la difusión de vapor
Zp
MNs/g";"Resistividad a la difusión de vapor
msPa/kg";"Factor de resistencia al vapor de agua 
?";;;;;;;
;;;;Adhesivo EIFS;0,001;0,3;3,00,E+11;60;;;;;;;
;;;;Adobe de celulosa, 72% celulosa, 14% viruta y 14% arcilla ? = 584 kg/m³;0,0025;;;11;;;;;;;
;;;;Cáscara de ladrillo hecho a máquina Princesa;0,009;;;140;;;;;;;
;;;;Celulosa proyectada  ? = 75 kg/m³;0,044;0,7;1,69,E+10;3;;;;;;;
;;;;Corcho aglomerado ? = 105-125 kg/m³;0,04;3,2;8,04,E+10;16;;;;;;;
;;;;Enchape cerámico;0,013;20,0;1,54,E+12;308;;;;;;;
;;;;Enchape de madera contrachapada con resina fenólica ? = 595 kg/m³;0,003;2,0;6,71,E+11;134;;;;;;;
;;;;Enchape de madera contrachapada con resina ureica ? = 635 kg/m³;0,003;3,1;1,03,E+12;207;;;;;;;
;;;;EPS ? = 10 kg/m³ - archipex;0,05;6,9;1,39,E+11;31;;;;;;;
;;;;EPS ? = 15 kg/m³ - archipex;0,05;8,1;1,61,E+11;35;;;;;;;
;;;;EPS ? = 20 kg/m³ - archipex;0,05;8,6;1,72,E+11;38;;;;;;;
;;;;EPS ? = 25 kg/m³ - archipex;0,05;10,4;2,08,E+11;46;;;;;;;
;;;;EPS ? = 30 kg/m³ - archipex;0,05;12,5;2,50,E+11;55;;;;;;;
;;;;Espuma niveladora;0,002;30,3;1,51,E+13;3029;;;;;;;
;;;;Estuco EIFS;0,003;0,2;6,50,E+10;13;;;;;;;
;;;;Estuco cemento (18% agua);0,013;2,1;1,59,E+11;32;;;;;;;
;;;;Fibra de poliéster ? = 8 kg/m³;0,055;0,7;1,23,E+10;2;;;;;;;
;;;;Fibrocemento ? = 1250 kg/m³;0,006;5,3;8,83,E+11;194;;;;;;;
;;;;Fibrocemento ? = 1350 kg/m³;0,008;8,0;1,00,E+12;200;;;;;;;
;;;;Fibrocemento Volcanboard;0,006;;;118;;;;;;;
;;;;Fibrocemento Simplísima - Cedral ETEX;0,006;;;321;;;;;;;
;;;;Fieltro M-1: 10-40;0,00027;0,7;2,44,E+12;536;;;;;;;
;;;;Fieltro M-2: 15-40 (N°15);0,00033;0,5;1,66,E+12;365;;;;;;;
;;;;Fieltro M-3: 15 Libras;0,00037;0,5;1,34,E+12;294;;;;;;;
;;;;Hormigón premezclado H20 (3L agua por saco) ? = 2100 kg/m³;0,018;4,0;2,20,E+11;44;;;;;;;
;;;;Impermeabilizante;0,0001;2,3;2,27,E+13;4545;;;;;;;
;;;;Klober;0,000175;0,4;2,50,E+12;549;;;;;;;
;;;;Ladrillo fiscal ? = 1500 kg/m³;0,046;2,2;4,68,E+10;9;;;;;;;
;;;;Lana de oveja ? = 12 kg/m³;0,05;0,6;1,12,E+10;2;;;;;;;
;;;;Lana de vidrio  ? = 11 kg/m³;0,05;1,1;2,22,E+10;5;;;;;;;
;;;;Lana de vidrio en colchoneta con papel a 1 cara ? = 35 kg/m³;0,1;2,2;2,22,E+10;4;;;;;;;
;;;;Lana mineral en colchoneta ? = 36 kg/m³;0,04;2,2;5,59,E+10;11;;;;;;;
;;;;Lana vidrio en rollo ? = 12 kg/m³;0,05;0,6;1,24,E+10;2;;;;;;;
;;;;Lana de vidrio Aislanglass ® ? = 14 kg/m³;0,04;;;3;;;;;;;
;;;;Lana de vidrio Aislanglass ® ? = 32 kg/m³;0,04;;;3;;;;;;;
;;;;Mortero de pega albañilería (21,6% agua);0,013;1,4;1,04,E+11;21;;;;;;;
;;;;Mortero de pega para pisos (5L agua por saco) ? = 1800 kg/m³;0,019;1,6;8,53,E+10;17;;;;;;;
;;;;OSB  ? = 650 kg/m³;0,0111;18,7;1,68,E+12;371;;;;;;;
;;;;OSB PaintPanel Louisiana Pacific ? = 685,4 kg/m³;0,0095;12,4;1,30,E+12;260;;;;;;;
;;;;OSB SmartPanel Louisiana Pacific ? = 648 kg/m³;0,0111;15,9;1,43,E+12;286;;;;;;;
;;;;Papel decomural vinílico 240 g/m²;0,0005;3,8;7,69,E+12;1538;;;;;;;
;;;;Papel Kraft librería 110 g/m²;0,0015;5,2;3,45,E+12;690;;;;;;;
;;;;Papel mural 200 g/m²;0,00037;2,9;7,73,E+12;1546;;;;;;;
;;;;Pino insigne  ? = 410 kg/m³;0,02;5,8;2,92,E+11;64;;;;;;;
;;;;Pintura barniz marino, 2 manos;0,00001;6,4;6,38,E+14;127600;;;;;;;
;;;;Pintura esmalte al agua (10 micras);0,00001;5,8;5,78,E+14;127160;;;;;;;
